Time,Error
35580,1679.610947
35640,1554.506484
35700,1465.479384
35760,1419.159404
35820,1418.601277
35880,1464.159024
35940,1553.392124
36000,1679.982272
36060,1832.98247
36120,1997.44329
36180,2156.272715
36240,2292.575422
36300,2391.839881
36360,2443.642629
36420,2442.736682
36480,2389.496207
36540,2289.750938
36600,2154.078978
36660,1996.636713
36720,1833.599715
36780,1681.305264
36840,1554.294083
36900,1463.684765
36960,1416.478682
37020,1415.986733
37080,1462.572952
37140,1553.552871
37200,1682.23366
37260,1837.321694
37320,2003.638802
37380,2163.984674
37440,2301.435255
37500,2401.488052
37560,2453.738654
37620,2452.954861
37680,2399.515575
37740,2299.244849
37800,2162.709391
37860,2004.06058
37920,1839.499053
37980,1685.454407
38040,1556.666638
38100,1464.567829
38160,1416.517206
38220,1416.084161
38280,1463.665215
38340,1556.405695
38340,1556.405695
38400,1540.948238
38460,1514.544549
38520,1493.339536
38580,1502.663249
38640,1554.734169
38700,1637.697575
38760,1727.270476
38820,1800.384624
38880,1840.00379
38940,1836.469753
39000,1789.300364
39060,1708.336713
39120,1612.404236
39180,1524.85777
39240,1466.113021
39300,1445.068876
39360,1454.920229
39420,1477.749237
39480,1494.441096
39540,1493.147025
39600,1473.541711
39660,1447.172523
39720,1433.679908
39780,1452.054546
39840,1509.582023
39900,1596.508706
39960,1690.974481
40020,1768.743489
40080,1810.782275
40140,1807.045651
40200,1757.712676
40260,1672.964523
40320,1571.472401
40380,1476.805467
40440,1410.564768
40500,1383.25871
40560,1388.961443
40620,1409.57178
40680,1425.37989
40740,1424.16903
40800,1405.75138
40860,1383.566351
40860,1383.566351
40920,1391.750058
40980,1433.120986
41040,1563.448442
41100,1819.138204
41160,2158.310524
41220,2503.123797
41280,2796.536282
41340,3007.421982
41400,3116.246622
41460,3109.540165
41520,2984.483189
41580,2754.098375
41640,2447.226123
41700,2104.43627
41760,1773.019325
41820,1500.278127
41880,1319.420308
41940,1230.179101
42000,1200.064252
42060,1197.456541
42120,1222.131336
42180,1306.556415
42240,1485.719773
42300,1760.709595
42360,2095.803112
42420,2440.112983
42480,2744.376645
42540,2968.406357
42600,3084.339382
42660,3078.230912
42720,2950.541318
42780,2715.629356
42840,2400.410466
42900,2042.39246
42960,1687.020979
43020,1382.81008
43080,1169.349807
43140,1056.023471
43200,1014.818757
43260,1012.690536
43320,1049.526552
43380,1159.418247
43440,1372.639929
43500,1680.239983
43560,2040.644551
43620,2402.631281
43680,2718.560761
43740,2949.823169
43800,3069.606463
43860,3064.496912
43920,2935.036922
43980,2695.23309
44040,2371.150118
44100,1998.84609
44160,1621.841433
44220,1287.517232
44280,1038.889006
44340,895.83194
44400,839.454675
44460,837.719407
44520,890.748819
44580,1032.011927
44640,1282.378369
44700,1621.798603
44760,2005.19162
44820,2382.676768
44880,2708.731189
44940,2946.330902
45000,3069.632129
45060,3065.708589
45120,2935.207933
45180,2691.8775
45240,2361.08811
45300,1977.613463
45360,1582.956701
45420,1222.216088
45480,938.789345
45540,761.258166
45600,684.615997
45660,683.15264
45720,757.370894
45780,934.780985
45840,1221.806326
45900,1589.200898
45960,1991.570039
46020,2381.513483
46080,2715.673076
46140,2958.420447
46200,3084.71828
46260,3082.045381
46320,2951.15539
46380,2705.623709
46440,2370.312707
46500,1978.995809
46560,1571.427802
46620,1190.073374
46680,876.072432
46740,660.289513
46740,660.289513
46800,537.171541
46860,343.555561
46920,184.115832
46980,276.22128
47040,514.515316
47100,774.82731
47160,1012.606667
47220,1190.905044
47280,1284.54945
47340,1283.930062
47400,1191.95417
47460,1019.690155
47520,784.568904
47580,511.231833
47640,240.274663
47700,160.996464
47760,352.038687
47820,517.504213
47880,607.017095
