Time,True Heading
48540,1.006602
48600,1.008198
48660,1.009798
48720,1.011403
48780,1.013012
48840,1.014627
48900,1.016246
48960,1.017871
49020,1.0195
49080,1.021134
49140,1.022773
49200,1.024416
49260,1.026065
49320,1.027718
49380,1.029377
49440,1.03104
49500,1.032708
49560,1.034381
49620,1.036059
49680,1.037742
49740,1.039429
49800,1.041122
49860,1.042819
49920,1.044522
49980,1.046229
50040,1.047941
50100,1.049658
50160,1.05138
50220,1.053107
50280,1.054839
50340,1.056576
50400,1.058318
50460,1.060065
50520,1.061816
50580,1.063573
50640,1.065335
50700,1.067101
50760,1.068872
50820,1.070649
50880,1.07243
50940,1.074216
51000,1.076008
51060,1.077804
51120,1.079605
51180,1.081411
51240,1.083222
51300,1.085038
51360,1.086859
51420,1.088685
51480,1.090516
51540,1.092352
51600,1.094192
51660,1.096038
51720,1.097889
51780,1.099744
51840,1.101605
51900,1.10347
51960,1.105341
52020,1.107216
52080,1.109097
52140,1.110982
52200,1.112872
52260,1.114767
52320,1.116667
52380,1.118572
52440,1.120482
52500,1.122397
52560,1.124317
52620,1.126241
52680,1.128171
52740,1.130105
52800,1.132045
52860,1.133989
52920,1.135939
52980,1.137893
53040,1.139852
53100,1.141815
53160,1.143784
53220,1.145758
53280,1.147736
53340,1.14972
53400,1.151708
53460,1.153701
53520,1.155699
53580,1.157701
53640,1.159709
53700,1.161721
53760,1.163738
53820,1.165761
53880,1.167787
53940,1.169819
54000,1.171855
54060,1.173896
54120,1.175942
54180,1.177993
54240,1.180048
54300,1.182108
54360,1.184173
54420,1.186243
54480,1.188317
54540,1.190396
54600,1.192479
54660,1.194568
54720,1.196661
54780,1.198758
54840,1.200861
54900,1.202967
54960,1.205079
55020,1.207195
55080,1.209316
55140,1.211441
55200,1.213571
55260,1.215705
55320,1.217844
55380,1.219988
55440,1.222136
55500,1.224288
55560,1.226445
55620,1.228606
55680,1.230772
55740,1.232943
55800,1.235117
55860,1.237297
55920,1.23948
55980,1.241668
56040,1.24386
56100,1.246057
56160,1.248258
56220,1.250463
56280,1.252673
56340,1.254887
56400,1.257105
56460,1.259327
56520,1.261553
56580,1.263784
56640,1.266019
56700,1.268258
56760,1.270501
56820,1.272749
56880,1.275
56940,1.277256
57000,1.279515
57060,1.281779
57120,1.284046
57180,1.286318
57240,1.288594
57300,1.290873
57360,1.293157
57420,1.295444
57480,1.297735
57540,1.300031
57600,1.30233
57660,1.304632
57720,1.306939
57780,1.30925
57840,1.311564
57900,1.313882
57960,1.316203
58020,1.318528
58080,1.320857
58140,1.32319
58200,1.325526
58260,1.327865
58320,1.330209
58380,1.332555
58440,1.334906
58500,1.337259
58560,1.339616
58620,1.341977
58680,1.344341
58740,1.346708
58800,1.349079
58860,1.351453
58920,1.35383
58980,1.35621
59040,1.358594
59100,1.360981
59160,1.36337
59220,1.365763
59280,1.36816
