=== Waypoint List ===
Longitude = 52.466135, Latitude = 13.838703, Altitude = 122.339732m, Distance left = 1602227.998577m, Subpoint 48
Longitude = 52.524732, Latitude = 14.086245, Altitude = 122.396615m, Distance left = 1584227.667438m, Subpoint 49
Longitude = 52.582811, Latitude = 14.334446, Altitude = 122.453441m, Distance left = 1566227.335964m, Subpoint 50
Longitude = 52.640370, Latitude = 14.583302, Altitude = 122.510210m, Distance left = 1548227.004156m, Subpoint 51
Longitude = 52.697406, Latitude = 14.832811, Altitude = 122.566922m, Distance left = 1530226.672014m, Subpoint 52
Longitude = 52.753917, Latitude = 15.082970, Altitude = 122.623577m, Distance left = 1512226.339538m, Subpoint 53
Longitude = 52.809900, Latitude = 15.333775, Altitude = 122.680176m, Distance left = 1494226.006729m, Subpoint 54
Longitude = 52.865353, Latitude = 15.585225, Altitude = 122.736718m, Distance left = 1476225.673588m, Subpoint 55
Longitude = 52.920274, Latitude = 15.837314, Altitude = 122.793204m, Distance left = 1458225.340115m, Subpoint 56
Longitude = 52.974660, Latitude = 16.090041, Altitude = 122.849633m, Distance left = 1440225.006310m, Subpoint 57
Longitude = 53.028509, Latitude = 16.343402, Altitude = 122.906006m, Distance left = 1422224.672173m, Subpoint 58
Longitude = 53.081818, Latitude = 16.597393, Altitude = 122.962322m, Distance left = 1404224.337707m, Subpoint 59
Longitude = 53.134585, Latitude = 16.852011, Altitude = 123.018582m, Distance left = 1386224.002910m, Subpoint 60
Longitude = 53.186807, Latitude = 17.107251, Altitude = 123.074786m, Distance left = 1368223.667783m, Subpoint 61
Longitude = 53.238483, Latitude = 17.363111, Altitude = 123.130934m, Distance left = 1350223.332328m, Subpoint 62
Longitude = 53.289610, Latitude = 17.619586, Altitude = 123.187025m, Distance left = 1332222.996544m, Subpoint 63
Longitude = 53.340185, Latitude = 17.876672, Altitude = 123.243061m, Distance left = 1314222.660431m, Subpoint 64
Longitude = 53.390206, Latitude = 18.134366, Altitude = 123.299040m, Distance left = 1296222.323991m, Subpoint 65
Longitude = 53.439672, Latitude = 18.392662, Altitude = 123.354963m, Distance left = 1278221.987224m, Subpoint 66
Longitude = 53.488578, Latitude = 18.651557, Altitude = 123.410831m, Distance left = 1260221.650130m, Subpoint 67
Longitude = 53.536924, Latitude = 18.911046, Altitude = 123.466642m, Distance left = 1242221.312710m, Subpoint 68
Longitude = 53.584707, Latitude = 19.171126, Altitude = 123.522398m, Distance left = 1224220.974964m, Subpoint 69
Longitude = 53.631925, Latitude = 19.431790, Altitude = 123.578098m, Distance left = 1206220.636893m, Subpoint 70
Longitude = 53.678576, Latitude = 19.693035, Altitude = 123.633742m, Distance left = 1188220.298497m, Subpoint 71
Longitude = 53.724656, Latitude = 19.954856, Altitude = 123.689331m, Distance left = 1170219.959776m, Subpoint 72
Longitude = 53.770165, Latitude = 20.217248, Altitude = 123.744864m, Distance left = 1152219.620732m, Subpoint 73
Longitude = 53.815100, Latitude = 20.480205, Altitude = 123.800342m, Distance left = 1134219.281365m, Subpoint 74
Longitude = 53.859458, Latitude = 20.743724, Altitude = 123.855764m, Distance left = 1116218.941675m, Subpoint 75
Longitude = 53.903238, Latitude = 21.007798, Altitude = 123.911130m, Distance left = 1098218.601662m, Subpoint 76
Longitude = 53.946437, Latitude = 21.272422, Altitude = 123.966442m, Distance left = 1080218.261328m, Subpoint 77
Longitude = 53.989053, Latitude = 21.537592, Altitude = 124.021698m, Distance left = 1062217.920672m, Subpoint 78
Longitude = 54.031085, Latitude = 21.803301, Altitude = 124.076898m, Distance left = 1044217.579695m, Subpoint 79
Longitude = 54.072530, Latitude = 22.069544, Altitude = 124.132044m, Distance left = 1026217.238398m, Subpoint 80
Longitude = 54.113385, Latitude = 22.336315, Altitude = 124.187134m, Distance left = 1008216.896780m, Subpoint 81
Longitude = 54.153650, Latitude = 22.603609, Altitude = 124.242169m, Distance left = 990216.554844m, Subpoint 82
Longitude = 54.193321, Latitude = 22.871419, Altitude = 124.297150m, Distance left = 972216.212588m, Subpoint 83
Longitude = 54.232398, Latitude = 23.139740, Altitude = 124.352075m, Distance left = 954215.870014m, Subpoint 84
Longitude = 54.270877, Latitude = 23.408566, Altitude = 124.406945m, Distance left = 936215.527121m, Subpoint 85
Longitude = 54.308758, Latitude = 23.677891, Altitude = 124.461761m, Distance left = 918215.183911m, Subpoint 86
Longitude = 54.346037, Latitude = 23.947707, Altitude = 124.516521m, Distance left = 900214.840384m, Subpoint 87
Longitude = 54.382714, Latitude = 24.218010, Altitude = 124.571227m, Distance left = 882214.496540m, Subpoint 88
Longitude = 54.418785, Latitude = 24.488792, Altitude = 124.625878m, Distance left = 864214.152380m, Subpoint 89
Longitude = 54.454250, Latitude = 24.760047, Altitude = 124.680475m, Distance left = 846213.807904m, Subpoint 90
Longitude = 54.489107, Latitude = 25.031768, Altitude = 124.735017m, Distance left = 828213.463113m, Subpoint 91
Longitude = 54.523353, Latitude = 25.303949, Altitude = 124.789504m, Distance left = 810213.118008m, Subpoint 92
Longitude = 54.556987, Latitude = 25.576583, Altitude = 124.843937m, Distance left = 792212.772587m, Subpoint 93
Longitude = 54.590008, Latitude = 25.849663, Altitude = 124.898316m, Distance left = 774212.426853m, Subpoint 94
Longitude = 54.622412, Latitude = 26.123182, Altitude = 124.952640m, Distance left = 756212.080806m, Subpoint 95
Longitude = 54.654200, Latitude = 26.397133, Altitude = 125.006909m, Distance left = 738211.734446m, Subpoint 96
Longitude = 54.685368, Latitude = 26.671508, Altitude = 125.061125m, Distance left = 720211.387773m, Subpoint 97
Longitude = 54.715915, Latitude = 26.946301, Altitude = 125.115286m, Distance left = 702211.040788m, Subpoint 98
Longitude = 54.745841, Latitude = 27.221504, Altitude = 125.169393m, Distance left = 684210.693492m, Subpoint 99
Longitude = 54.775142, Latitude = 27.497110, Altitude = 125.223446m, Distance left = 666210.345885m, Subpoint 100
Longitude = 54.803817, Latitude = 27.773111, Altitude = 125.277445m, Distance left = 648209.997967m, Subpoint 101
Longitude = 54.831866, Latitude = 28.049500, Altitude = 125.331390m, Distance left = 630209.649739m, Subpoint 102
Longitude = 54.859286, Latitude = 28.326269, Altitude = 125.385281m, Distance left = 612209.301201m, Subpoint 103
Longitude = 54.886076, Latitude = 28.603410, Altitude = 125.439118m, Distance left = 594208.952355m, Subpoint 104
Longitude = 54.912234, Latitude = 28.880916, Altitude = 125.492902m, Distance left = 576208.603199m, Subpoint 105
Longitude = 54.937759, Latitude = 29.158778, Altitude = 125.546631m, Distance left = 558208.253735m, Subpoint 106
Longitude = 54.962650, Latitude = 29.436988, Altitude = 125.600307m, Distance left = 540207.903963m, Subpoint 107
Longitude = 54.986905, Latitude = 29.715540, Altitude = 125.653929m, Distance left = 522207.553884m, Subpoint 108
Longitude = 55.010522, Latitude = 29.994423, Altitude = 125.707497m, Distance left = 504207.203498m, Subpoint 109
Longitude = 55.033502, Latitude = 30.273631, Altitude = 125.761012m, Distance left = 486206.852806m, Subpoint 110
Longitude = 55.055841, Latitude = 30.553155, Altitude = 125.814474m, Distance left = 468206.501808m, Subpoint 111
Longitude = 55.077540, Latitude = 30.832987, Altitude = 125.867882m, Distance left = 450206.150504m, Subpoint 112
Longitude = 55.098597, Latitude = 31.113118, Altitude = 125.921236m, Distance left = 432205.798895m, Subpoint 113
Longitude = 55.119010, Latitude = 31.393539, Altitude = 125.974537m, Distance left = 414205.446981m, Subpoint 114
Longitude = 55.138778, Latitude = 31.674243, Altitude = 126.027785m, Distance left = 396205.094763m, Subpoint 115
Longitude = 55.157901, Latitude = 31.955220, Altitude = 126.080980m, Distance left = 378204.742242m, Subpoint 116
Longitude = 55.176377, Latitude = 32.236463, Altitude = 126.134121m, Distance left = 360204.389417m, Subpoint 117
Longitude = 55.194206, Latitude = 32.517961, Altitude = 126.187210m, Distance left = 342204.036290m, Subpoint 118
Longitude = 55.211386, Latitude = 32.799708, Altitude = 126.240245m, Distance left = 324203.682860m, Subpoint 119
Longitude = 55.227916, Latitude = 33.081693, Altitude = 126.293227m, Distance left = 306203.329128m, Subpoint 120
Longitude = 55.243795, Latitude = 33.363907, Altitude = 126.346156m, Distance left = 288202.975095m, Subpoint 121
Longitude = 55.259023, Latitude = 33.646343, Altitude = 126.399032m, Distance left = 270202.620760m, Subpoint 122
Longitude = 55.273598, Latitude = 33.928991, Altitude = 126.451856m, Distance left = 252202.266126m, Subpoint 123
Longitude = 55.287520, Latitude = 34.211841, Altitude = 126.504626m, Distance left = 234201.911191m, Subpoint 124
Longitude = 55.300788, Latitude = 34.494886, Altitude = 126.557344m, Distance left = 216201.555956m, Subpoint 125
Longitude = 55.313401, Latitude = 34.778115, Altitude = 126.610009m, Distance left = 198201.200422m, Subpoint 126
Longitude = 55.325358, Latitude = 35.061519, Altitude = 126.662621m, Distance left = 180200.844590m, Subpoint 127
Longitude = 55.336659, Latitude = 35.345090, Altitude = 126.715181m, Distance left = 162200.488459m, Subpoint 128
Longitude = 55.347304, Latitude = 35.628818, Altitude = 126.767688m, Distance left = 144200.132031m, Subpoint 129
Longitude = 55.357290, Latitude = 35.912694, Altitude = 126.820143m, Distance left = 126199.775304m, Subpoint 130
Longitude = 55.366619, Latitude = 36.196709, Altitude = 126.872545m, Distance left = 108199.418281m, Subpoint 131
Longitude = 55.375289, Latitude = 36.480852, Altitude = 126.924895m, Distance left = 90199.060962m, Subpoint 132
Longitude = 55.383300, Latitude = 36.765116, Altitude = 126.977193m, Distance left = 72198.703346m, Subpoint 133
Longitude = 55.390651, Latitude = 37.049490, Altitude = 127.029438m, Distance left = 54198.345435m, Subpoint 134
Longitude = 55.397342, Latitude = 37.333965, Altitude = 127.081631m, Distance left = 36197.987229m, Subpoint 135
Longitude = 55.403373, Latitude = 37.618531, Altitude = 127.133772m, Distance left = 18197.628728m, Subpoint 136
Longitude = 55.408743, Latitude = 37.903180, Altitude = 127.185860m, Distance left = 197.269941m, Subpoint 137
Longitude = 55.408798, Latitude = 37.906300, Altitude = 127.237897m, Distance left = 0.000000m, Subpoint 138

=== From Moscow to Oslo ===
Moscow has coordinates 55.408798 37.906300 and altitude 179.222400m, Oslo has coordinates 60.193901 11.100400 and altitude 207.568800m
Distance between waypoints: 1663282.538491m, Distance each segment: 18000.000000m, Subpoints: 92.404585
Longitude = 55.488442, Latitude = 37.658168, Altitude = 179.250746m, Distance left = 1645282.040002m, Subpoint 0
Longitude = 55.567581, Latitude = 37.409035, Altitude = 179.279064m, Distance left = 1627281.541345m, Subpoint 1
Longitude = 55.646214, Latitude = 37.158899, Altitude = 179.307354m, Distance left = 1609281.042521m, Subpoint 2
Longitude = 55.724335, Latitude = 36.907759, Altitude = 179.335616m, Distance left = 1591280.543530m, Subpoint 3
Longitude = 55.801943, Latitude = 36.655616, Altitude = 179.363849m, Distance left = 1573280.044373m, Subpoint 4
Longitude = 55.879032, Latitude = 36.402470, Altitude = 179.392054m, Distance left = 1555279.545050m, Subpoint 5
